"DATE","YEARMODA","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
1999-06-18 12:00:00,19990618,1999,6,18,1.61111111111111,13.6111111111111,8.16666666666667,0,NA,NA,FALSE,FALSE
1999-06-19 12:00:00,19990619,1999,6,19,8.77777777777778,15.7222222222222,10.3333333333333,0,NA,NA,FALSE,FALSE
1999-06-20 12:00:00,19990620,1999,6,20,7.72222222222222,10.6111111111111,9,0,NA,NA,FALSE,FALSE
1999-06-21 12:00:00,19990621,1999,6,21,4.38888888888889,9.88888888888889,6.16666666666667,0,NA,NA,FALSE,FALSE
1999-06-22 12:00:00,19990622,1999,6,22,2,10.7777777777778,6.16666666666667,0,NA,NA,FALSE,FALSE
1999-06-23 12:00:00,19990623,1999,6,23,4.11111111111111,12.1111111111111,7.5,0,NA,NA,FALSE,FALSE
1999-06-24 12:00:00,19990624,1999,6,24,2.11111111111111,11.7222222222222,6.94444444444444,0,NA,NA,FALSE,FALSE
1999-06-25 12:00:00,19990625,1999,6,25,4.61111111111111,17.5,11.8888888888889,0,NA,NA,FALSE,FALSE
1999-06-26 12:00:00,19990626,1999,6,26,9.77777777777778,16.7777777777778,11.5,0,NA,NA,FALSE,FALSE
1999-06-27 12:00:00,19990627,1999,6,27,6.5,11.2777777777778,8,0,NA,NA,FALSE,FALSE
1999-06-28 12:00:00,19990628,1999,6,28,8.61111111111111,18.7222222222222,12.6111111111111,0,NA,NA,FALSE,FALSE
1999-06-29 12:00:00,19990629,1999,6,29,7.5,17.5,11,0,NA,NA,FALSE,FALSE
1999-06-30 12:00:00,19990630,1999,6,30,7.72222222222222,14.7777777777778,10.3888888888889,0,NA,NA,FALSE,FALSE
1999-07-01 12:00:00,19990701,1999,7,1,7.5,13.7777777777778,9.88888888888889,0,NA,NA,FALSE,FALSE
1999-07-02 12:00:00,19990702,1999,7,2,6.72222222222222,13,8.94444444444444,0,NA,NA,FALSE,FALSE
1999-07-03 12:00:00,19990703,1999,7,3,3.72222222222222,9.61111111111111,5.88888888888889,0,NA,NA,FALSE,FALSE
